state,07/01/2015_date,08/01/2015_date,09/01/2015_date,10/01/2015_date,11/01/2015_date,12/01/2015_date,01/01/2016_date,02/01/2016_date,03/01/2016_date,04/01/2016_date,05/01/2016_date,06/01/2016_date,07/01/2016_date,08/01/2016_date,09/01/2016_date,10/01/2016_date,11/01/2016_date,12/01/2016_date,01/01/2017_date,02/01/2017_date,03/01/2017_date,04/01/2017_date,05/01/2017_date,06/01/2017_date,07/01/2017_date,08/01/2017_date,09/01/2017_date,10/01/2017_date,11/01/2017_date,12/01/2017_date,01/01/2018_date,02/01/2018_date,03/01/2018_date,04/01/2018_date,05/01/2018_date,06/01/2018_date,07/01/2018_date,08/01/2018_date,09/01/2018_date,10/01/2018_date,11/01/2018_date,12/01/2018_date,01/01/2019_date,02/01/2019_date,03/01/2019_date,04/01/2019_date,05/01/2019_date,06/01/2019_date,07/01/2019_date,08/01/2019_date,09/01/2019_date,10/01/2019_date,11/01/2019_date,12/01/2019_date,01/01/2020_date,02/01/2020_date,03/01/2020_date,04/01/2020_date,05/01/2020_date,06/01/2020_date,07/01/2020_date,08/01/2020_date,09/01/2020_date,10/01/2020_date,11/01/2020_date,12/01/2020_date,01/01/2021_date,02/01/2021_date,03/01/2021_date,04/01/2021_date,05/01/2021_date,06/01/2021_date,07/01/2021_date,08/01/2021_date,09/01/2021_date,10/01/2021_date,11/01/2021_date,12/01/2021_date,01/01/2022_date,02/01/2022_date,03/01/2022_date
Pauline Hopkins,297,100,253,200,334,275,388,516,408,261,337,0,197,100,199,494,356,337,493,297,362,352,382,100,0,293,710,391,298,174,391,182,465,479,527,197,0,199,175,438,282,292,294,481,705,431,338,186,100,282,197,1017,703,266,300,585,831,398,187,297,298,436,463,371,187,292,396,448,297,415,446,198,0,0,357,393,290,100,560,638,384
Charles Waddell Chesnutt,196,0,100,296,197,198,181,0,100,0,0,0,100,0,100,273,395,192,286,199,100,0,0,0,199,184,0,349,341,273,100,184,0,0,0,0,0,197,100,309,100,100,0,100,0,199,100,0,100,199,0,382,515,0,0,185,184,100,100,100,100,286,0,0,296,0,100,199,0,100,0,0,100,0,169,377,374,377,373,0,0
Paul Laurence Dunbar,760,936,860,1209,1136,887,1421,1345,1156,1445,1352,1024,841,1101,1275,1303,1184,1134,1320,1228,1587,1072,1491,1407,1392,1310,1257,1530,1453,1076,1305,1697,1365,1462,1355,1265,874,587,1229,1534,1273,1144,1215,1370,1672,1364,1497,972,987,1607,1224,1155,1348,896,1279,1607,1492,1315,1428,1062,929,1190,1441,1249,1578,1272,1168,1313,1403,1491,1124,989,979,1427,1368,1303,1102,1291,1189,977,1062
James Weldon Johnson,1089,1131,846,1351,924,751,1288,1815,1492,1400,1213,704,736,994,960,1486,1171,1017,1210,1288,1124,1319,1056,808,980,1277,910,1117,1281,1133,1289,1412,1482,1248,1386,973,771,1172,909,1317,1196,967,1438,1253,1566,1049,1152,792,887,1076,754,1275,849,993,1263,1298,1106,1270,1277,751,403,893,1039,935,682,1273,979,1294,832,1286,1112,593,939,972,987,907,887,901,1151,1190,969
Jean Toomer,456,611,807,794,954,1005,678,1236,1130,833,731,487,605,607,608,1045,802,559,885,1411,1434,951,959,775,405,449,657,720,683,802,1000,995,1099,997,877,384,729,706,387,993,1058,382,845,936,1155,832,718,766,391,799,676,777,877,715,746,1100,906,713,940,925,790,460,1037,788,609,576,854,868,518,821,1240,894,707,476,600,635,685,531,643,458,690
Rudolph Fisher,490,294,149,382,263,631,532,559,507,679,359,267,187,259,230,340,596,677,514,537,469,426,716,298,100,100,435,529,413,916,612,201,860,517,151,100,375,197,377,352,525,399,285,387,397,256,415,0,159,100,390,513,767,415,539,509,352,439,542,294,394,0,314,387,663,366,511,546,504,199,186,567,195,295,364,197,199,379,566,643,296
Nella Larsen,754,1077,1539,1216,1102,1138,988,1187,1501,1085,1396,573,507,1249,930,1401,1132,966,1190,1385,1067,922,891,529,536,653,986,854,1103,823,1148,1400,865,1066,1061,708,711,525,1047,1215,846,876,892,996,1036,1512,1172,550,921,908,911,1276,1161,767,1238,1009,746,1308,1007,1533,1573,1488,1372,1053,846,1003,768,1040,968,1369,984,662,364,593,692,1001,847,1086,1011,955,1161
Claude McKay,616,835,1013,1329,996,1004,1530,1359,1622,1610,1393,1119,986,714,1122,1413,1340,1117,701,1244,1680,1044,851,1142,864,751,1190,1424,1366,1123,937,1444,1128,1551,901,752,866,566,1078,1233,1234,1002,1129,1585,1573,1325,1311,779,732,1070,905,1108,1071,1022,1274,1421,1201,1446,1205,964,960,1040,1513,1381,948,494,870,1334,1238,1163,1186,738,774,710,970,1395,755,910,896,1155,840
Langston Hughes,1550,1905,1867,2051,1695,1355,1533,1675,1877,1893,1782,1318,1123,1662,1376,1960,1765,1489,1564,1687,1806,897,1625,1837,1484,1633,1929,2175,1673,1409,1527,1693,1774,1917,2012,1116,1905,1704,2001,1886,1828,1378,1710,2013,1852,1821,1839,1710,1559,1658,1992,1973,1314,1421,1771,1984,1512,2057,1564,1425,880,1669,1817,1918,1503,1732,1897,1675,1764,2083,1714,1199,906,1786,2060,1555,1578,721,1610,1902,1531
George Schuyler,356,193,332,393,534,281,867,900,493,885,525,910,1098,648,464,829,719,741,1043,605,909,877,892,742,493,665,770,441,724,496,628,393,781,766,924,497,828,448,659,775,757,585,654,1010,704,797,998,443,292,474,505,725,851,499,811,880,815,601,715,563,493,1315,1439,846,1099,1079,700,691,837,671,695,558,680,418,810,747,895,517,858,725,515
