author,date,order,views,birthyear,region,state
A. J. Verdelle,7/31/2015,1,0,1960,South,DC
A. J. Verdelle,8/31/2015,2,0,1960,South,DC
A. J. Verdelle,9/30/2015,3,57,1960,South,DC
A. J. Verdelle,10/31/2015,4,96,1960,South,DC
A. J. Verdelle,11/30/2015,5,81,1960,South,DC
A. J. Verdelle,12/31/2015,6,53,1960,South,DC
A. J. Verdelle,1/31/2016,7,51,1960,South,DC
A. J. Verdelle,2/29/2016,8,54,1960,South,DC
A. J. Verdelle,3/31/2016,9,51,1960,South,DC
A. J. Verdelle,4/30/2016,10,95,1960,South,DC
A. J. Verdelle,5/31/2016,11,54,1960,South,DC
A. J. Verdelle,6/30/2016,12,71,1960,South,DC
A. J. Verdelle,7/31/2016,13,56,1960,South,DC
A. J. Verdelle,8/31/2016,14,55,1960,South,DC
A. J. Verdelle,9/30/2016,15,56,1960,South,DC
A. J. Verdelle,10/31/2016,16,76,1960,South,DC
A. J. Verdelle,11/30/2016,17,70,1960,South,DC
A. J. Verdelle,12/31/2016,18,112,1960,South,DC
A. J. Verdelle,1/31/2017,19,92,1960,South,DC
A. J. Verdelle,2/28/2017,20,71,1960,South,DC
A. J. Verdelle,3/31/2017,21,82,1960,South,DC
A. J. Verdelle,4/30/2017,22,59,1960,South,DC
A. J. Verdelle,5/31/2017,23,53,1960,South,DC
A. J. Verdelle,6/30/2017,24,59,1960,South,DC
A. J. Verdelle,7/31/2017,25,72,1960,South,DC
A. J. Verdelle,8/31/2017,26,70,1960,South,DC
A. J. Verdelle,9/30/2017,27,66,1960,South,DC
A. J. Verdelle,10/31/2017,28,70,1960,South,DC
A. J. Verdelle,11/30/2017,29,78,1960,South,DC
A. J. Verdelle,12/31/2017,30,50,1960,South,DC
A. J. Verdelle,1/31/2018,31,90,1960,South,DC
A. J. Verdelle,2/28/2018,32,91,1960,South,DC
A. J. Verdelle,3/31/2018,33,65,1960,South,DC
A. J. Verdelle,4/30/2018,34,53,1960,South,DC
A. J. Verdelle,5/31/2018,35,59,1960,South,DC
A. J. Verdelle,6/30/2018,36,69,1960,South,DC
A. J. Verdelle,7/31/2018,37,69,1960,South,DC
A. J. Verdelle,8/31/2018,38,79,1960,South,DC
A. J. Verdelle,9/30/2018,39,68,1960,South,DC
A. J. Verdelle,10/31/2018,40,78,1960,South,DC
A. J. Verdelle,11/30/2018,41,78,1960,South,DC
A. J. Verdelle,12/31/2018,42,88,1960,South,DC
A. J. Verdelle,1/31/2019,43,78,1960,South,DC
A. J. Verdelle,2/28/2019,44,85,1960,South,DC
A. J. Verdelle,3/31/2019,45,93,1960,South,DC
A. J. Verdelle,4/30/2019,46,104,1960,South,DC
A. J. Verdelle,5/31/2019,47,85,1960,South,DC
A. J. Verdelle,6/30/2019,48,112,1960,South,DC
A. J. Verdelle,7/31/2019,49,97,1960,South,DC
A. J. Verdelle,8/31/2019,50,1033,1960,South,DC
A. J. Verdelle,9/30/2019,51,70,1960,South,DC
A. J. Verdelle,10/31/2019,52,85,1960,South,DC
A. J. Verdelle,11/30/2019,53,94,1960,South,DC
A. J. Verdelle,12/31/2019,54,80,1960,South,DC
A. J. Verdelle,1/31/2020,55,91,1960,South,DC
A. J. Verdelle,2/29/2020,56,107,1960,South,DC
A. J. Verdelle,3/31/2020,57,54,1960,South,DC
A. J. Verdelle,4/30/2020,58,63,1960,South,DC
A. J. Verdelle,5/31/2020,59,56,1960,South,DC
A. J. Verdelle,6/30/2020,60,70,1960,South,DC
A. J. Verdelle,7/31/2020,61,62,1960,South,DC
A. J. Verdelle,8/31/2020,62,55,1960,South,DC
A. J. Verdelle,9/30/2020,63,64,1960,South,DC
A. J. Verdelle,10/31/2020,64,55,1960,South,DC
A. J. Verdelle,11/30/2020,65,79,1960,South,DC
A. J. Verdelle,12/31/2020,66,58,1960,South,DC
A. J. Verdelle,1/31/2021,67,93,1960,South,DC
A. J. Verdelle,2/28/2021,68,115,1960,South,DC
A. J. Verdelle,3/31/2021,69,95,1960,South,DC
A. J. Verdelle,4/30/2021,70,62,1960,South,DC
A. J. Verdelle,5/31/2021,71,60,1960,South,DC
A. J. Verdelle,6/30/2021,72,91,1960,South,DC
A. J. Verdelle,7/31/2021,73,85,1960,South,DC
A. J. Verdelle,8/31/2021,74,51,1960,South,DC
A. J. Verdelle,9/30/2021,75,45,1960,South,DC
A. J. Verdelle,10/31/2021,76,40,1960,South,DC
A. J. Verdelle,11/30/2021,77,44,1960,South,DC
A. J. Verdelle,12/31/2021,78,33,1960,South,DC
A. J. Verdelle,1/31/2022,79,47,1960,South,DC
A. J. Verdelle,2/28/2022,80,64,1960,South,DC
A. J. Verdelle,3/31/2022,81,4,1960,South,DC
Al Young,7/31/2015,1,314,1939,South,MS
Al Young,8/31/2015,2,338,1939,South,MS
